time,total,gasoline,diesel,fgas,ngas,electricity,petroleum,hydrogen,methanol,ethanol,pluginhybrid,otherfuels,year
2018-01-01 00:00:00+00:00,2.930483,1781826,1136656,12,256,9304,0,81,0,0,2340,8,2018.0
2018-02-01 00:00:00+00:00,2.934044,1783338,1138414,12,255,9343,0,80,0,0,2593,9,2018.0833333333333
2018-03-01 00:00:00+00:00,2.941422,1787219,1141576,12,257,9399,0,77,0,0,2873,9,2018.1666666666667
2018-04-01 00:00:00+00:00,2.951498,1793554,1144846,12,257,9548,0,77,0,0,3195,9,2018.25
2018-05-01 00:00:00+00:00,2.963093,1799795,1149840,12,256,9665,0,77,0,0,3439,9,2018.3333333333333
2018-06-01 00:00:00+00:00,2.973721,1805170,1154651,12,262,9807,0,77,0,0,3734,8,2018.4166666666667
2018-07-01 00:00:00+00:00,2.976096,1806338,1155420,12,262,9853,0,77,0,0,4126,8,2018.5
2018-08-01 00:00:00+00:00,2.985537,1810615,1159907,12,261,10002,0,80,0,0,4652,8,2018.5833333333333
2018-09-01 00:00:00+00:00,2.983209,1808496,1159418,11,261,10120,0,82,0,0,4812,9,2018.6666666666667
2018-10-01 00:00:00+00:00,2.982473,1806710,1160162,11,263,10236,0,82,0,0,5000,9,2018.75
2018-11-01 00:00:00+00:00,2.98453,1807349,1161075,10,262,10462,0,84,0,0,5280,8,2018.8333333333333
2018-12-01 00:00:00+00:00,2.984123,1807476,1160163,10,268,10707,0,84,0,0,5407,8,2018.9166666666667
2019-01-01 00:00:00+00:00,2.988432,1811175,1160031,9,269,10978,0,84,0,0,5878,8,2019.0
2019-02-01 00:00:00+00:00,2.991279,1814823,1158555,9,269,11220,0,84,0,0,6311,8,2019.0833333333333
2019-03-01 00:00:00+00:00,3.002834,1823350,1160576,9,271,11783,0,83,0,0,6754,8,2019.1666666666667
2019-04-01 00:00:00+00:00,3.008125,1827495,1160974,9,278,12284,0,82,0,0,6996,7,2019.25
2019-05-01 00:00:00+00:00,3.016558,1833264,1163018,9,278,12635,0,82,0,0,7265,7,2019.3333333333333
2019-06-01 00:00:00+00:00,3.025807,1839254,1165383,9,278,13293,0,81,0,0,7501,8,2019.4166666666667
2019-07-01 00:00:00+00:00,3.027397,1840521,1165149,9,279,13502,0,80,0,0,7849,8,2019.5
2019-08-01 00:00:00+00:00,3.034273,1844552,1167160,9,280,13914,0,79,0,0,8271,8,2019.5833333333333
2019-09-01 00:00:00+00:00,3.03348,1843783,1165854,9,280,14726,0,80,0,0,8740,8,2019.6666666666667
2019-10-01 00:00:00+00:00,3.03097,1842547,1163706,9,281,15089,0,78,0,0,9253,7,2019.75
2019-11-01 00:00:00+00:00,3.03212,1843081,1163464,8,282,15436,0,77,0,0,9765,7,2019.8333333333333
2019-12-01 00:00:00+00:00,3.03209,1842935,1162271,8,279,16402,0,77,0,0,10111,7,2019.9166666666667
2020-01-01 00:00:00+00:00,3.036213,1845069,1162786,8,278,17012,0,71,0,0,10982,7,2020.0
2020-02-01 00:00:00+00:00,3.037617,1846587,1161404,8,278,17579,0,70,0,0,11684,7,2020.0833333333333
2020-03-01 00:00:00+00:00,3.036205,1845786,1158939,8,275,18739,0,69,0,0,12382,7,2020.1666666666667
2020-04-01 00:00:00+00:00,3.040346,1848858,1158945,8,275,19197,0,69,0,0,12987,7,2020.25
