"thour","tdate","Ph","Tdelta","Gv","Ph.l0","Ph.l1","Ph.l2","Ph.l3","Ph.l4","Ph.l5","Ph.l6","Ph.l7","Ph.l8","Ph.l9","Ph.l10","Tdelta.l0","Tdelta.l1","Tdelta.l2","Tdelta.l3","Tdelta.l4","Tdelta.l5","Tdelta.l6","Tdelta.l7","Tdelta.l8","Tdelta.l9","Tdelta.l10","Gv.l0","Gv.l1","Gv.l2","Gv.l3","Gv.l4","Gv.l5","Gv.l6","Gv.l7","Gv.l8","Gv.l9","Gv.l10"
19,"2013-01-30 02:00:00",56,13.2535833333333,-0.498643410858333,56,55,57,57,58,59,59,59,59,59,58,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,14.189,13.9547083333333,14.3009166666667,14.3768333333333,14.00325,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721,-0.669266795866667,-0.451776485783333,-0.142700258416667,8.26233850129167,20.4754844961333
20,"2013-01-30 03:00:00",54,13.1814583333333,-1.127034883725,54,56,55,57,57,58,59,59,59,59,59,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,14.189,13.9547083333333,14.3009166666667,14.3768333333333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721,-0.669266795866667,-0.451776485783333,-0.142700258416667,8.26233850129167
21,"2013-01-30 04:00:00",55,12.9687916666667,-0.643297803608333,55,54,56,55,57,57,58,59,59,59,59,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,14.189,13.9547083333333,14.3009166666667,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721,-0.669266795866667,-0.451776485783333,-0.142700258416667
22,"2013-01-30 05:00:00",54,12.66775,-0.45600775195,54,55,54,56,55,57,57,58,59,59,59,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,14.189,13.9547083333333,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721,-0.669266795866667,-0.451776485783333
23,"2013-01-30 06:00:00",54,12.60525,-1.53406007750833,54,54,55,54,56,55,57,57,58,59,59,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,14.189,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721,-0.669266795866667
24,"2013-01-30 07:00:00",54,12.7205833333333,-1.02890826873333,54,54,54,55,54,56,55,57,57,58,59,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,13.8600833333333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333,-0.7472383721
25,"2013-01-30 08:00:00",53,12.750125,-1.39896640828333,53,54,54,54,55,54,56,55,57,57,58,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,13.5260416666667,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667,-0.453375323008333
26,"2013-01-30 09:00:00",54,12.9899583333333,0.25566860465,54,53,54,54,54,55,54,56,55,57,57,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,12.8394166666667,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333,-0.221010981916667
27,"2013-01-30 10:00:00",53,12.8321666666667,6.99948320414167,53,54,53,54,54,54,55,54,56,55,57,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,12.71,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553,-0.417958656333333
28,"2013-01-30 11:00:00",52,12.573,20.556653746775,52,53,54,53,54,54,54,55,54,56,55,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,13.1013333333333,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333,-0.4993378553
29,"2013-01-30 12:00:00",50,12.5917916666667,30.8007267441833,50,52,53,54,53,54,54,54,55,54,56,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,13.2535833333333,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725,-0.498643410858333
30,"2013-01-30 13:00:00",50,14.0382083333333,35.7988856589083,50,50,52,53,54,53,54,54,54,55,54,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,13.1814583333333,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333,-1.127034883725
31,"2013-01-30 14:00:00",48,13.988375,77.1225290697667,48,50,50,52,53,54,53,54,54,54,55,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,12.9687916666667,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195,-0.643297803608333
32,"2013-01-30 15:00:00",17,13.599625,363.738856589167,17,48,50,50,52,53,54,53,54,54,54,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,12.66775,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833,-0.45600775195
33,"2013-01-30 16:00:00",27,13.6144583333333,246.303520671825,27,17,48,50,50,52,53,54,53,54,54,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,12.60525,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333,-1.53406007750833
34,"2013-01-30 17:00:00",26,14.0194166666667,183.3817021964,26,27,17,48,50,50,52,53,54,53,54,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,12.7205833333333,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333,-1.02890826873333
35,"2013-01-30 18:00:00",47,15.4059166666667,6.686191860475,47,26,27,17,48,50,50,52,53,54,53,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,12.750125,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465,-1.39896640828333
36,"2013-01-30 19:00:00",53,16.2515,-1.45256782945833,53,47,26,27,17,48,50,50,52,53,54,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,12.9899583333333,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167,0.25566860465
37,"2013-01-30 20:00:00",58,16.6657916666667,-1.31109496124167,58,53,47,26,27,17,48,50,50,52,53,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,12.8321666666667,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775,6.99948320414167
38,"2013-01-30 21:00:00",61,16.9808333333333,-1.32117248060833,61,58,53,47,26,27,17,48,50,50,52,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,12.573,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833,20.556653746775
39,"2013-01-30 22:00:00",64,17.242875,-1.2789244186,64,61,58,53,47,26,27,17,48,50,50,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,12.5917916666667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083,30.8007267441833
40,"2013-01-30 23:00:00",67,17.3430416666667,-1.26262919896667,67,64,61,58,53,47,26,27,17,48,50,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,14.0382083333333,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667,35.7988856589083
41,"2013-01-31 00:00:00",69,17.51,-1.17708333334167,69,67,64,61,58,53,47,26,27,17,48,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,13.988375,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167,77.1225290697667
42,"2013-01-31 01:00:00",71,17.701375,-0.9546511628,71,69,67,64,61,58,53,47,26,27,17,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,13.599625,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825,363.738856589167
43,"2013-01-31 02:00:00",71,17.7436666666667,-0.987548449608333,71,71,69,67,64,61,58,53,47,26,27,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,13.6144583333333,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964,246.303520671825
44,"2013-01-31 03:00:00",73,18.082,-1.12454780360833,73,71,71,69,67,64,61,58,53,47,26,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,14.0194166666667,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475,183.3817021964
45,"2013-01-31 04:00:00",72,17.759125,-0.546883074933333,72,73,71,71,69,67,64,61,58,53,47,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,15.4059166666667,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833,6.686191860475
46,"2013-01-31 05:00:00",73,18.0414166666667,-0.601889534875,73,72,73,71,71,69,67,64,61,58,53,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,16.2515,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167,-1.45256782945833
47,"2013-01-31 06:00:00",74,18.7278333333333,-0.976049741608333,74,73,72,73,71,71,69,67,64,61,58,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,16.6657916666667,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833,-1.31109496124167
48,"2013-01-31 07:00:00",73,19.0304583333333,-0.77784237725,73,74,73,72,73,71,71,69,67,64,61,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,16.9808333333333,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186,-1.32117248060833
49,"2013-01-31 08:00:00",74,18.9905833333333,-0.7040859173,74,73,74,73,72,73,71,71,69,67,64,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,17.242875,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667,-1.2789244186
50,"2013-01-31 09:00:00",75,19.2690416666667,1.68099160206667,75,74,73,74,73,72,73,71,71,69,67,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,17.3430416666667,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167,-1.26262919896667
51,"2013-01-31 10:00:00",75,18.8866666666667,16.83023255815,75,75,74,73,74,73,72,73,71,71,69,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,17.51,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628,-1.17708333334167
52,"2013-01-31 11:00:00",69,18.4714166666667,69.6574935400417,69,75,75,74,73,74,73,72,73,71,71,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,17.701375,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333,-0.9546511628
53,"2013-01-31 12:00:00",72,18.630625,30.5348029715667,72,69,75,75,74,73,74,73,72,73,71,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,17.7436666666667,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833,-0.987548449608333
54,"2013-01-31 13:00:00",73,18.813375,15.448029715775,73,72,69,75,75,74,73,74,73,72,73,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,18.082,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333,-1.12454780360833
55,"2013-01-31 14:00:00",71,17.603125,93.3499838501333,71,73,72,69,75,75,74,73,74,73,72,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,17.759125,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875,-0.546883074933333
56,"2013-01-31 15:00:00",35,16.03375,340.780442506458,35,71,73,72,69,75,75,74,73,74,73,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,18.0414166666667,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333,-0.601889534875
57,"2013-01-31 16:00:00",37,15.6680833333333,208.320235788108,54,35,71,73,72,69,75,75,74,73,74,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,18.7278333333333,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725,-0.976049741608333
58,"2013-01-31 17:00:00",50,15.898875,115.400742894067,50,54,35,71,73,72,69,75,75,74,73,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,19.0304583333333,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173,-0.77784237725
59,"2013-01-31 18:00:00",62,16.7224583333333,4.94168281654167,62,50,54,35,71,73,72,69,75,75,74,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,18.9905833333333,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667,-0.7040859173
60,"2013-01-31 19:00:00",66,17.0330833333333,-1.136046511625,66,62,50,54,35,71,73,72,69,75,75,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,19.2690416666667,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815,1.68099160206667
61,"2013-01-31 20:00:00",67,17.4425833333333,-1.16526162790833,67,66,62,50,54,35,71,73,72,69,75,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,18.8866666666667,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417,16.83023255815
62,"2013-01-31 21:00:00",69,17.6922916666667,-1.07968346253333,69,67,66,62,50,54,35,71,73,72,69,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,18.4714166666667,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667,69.6574935400417
63,"2013-01-31 22:00:00",70,17.7911666666667,-0.788598191208333,70,69,67,66,62,50,54,35,71,73,72,17.7911666666667,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,18.630625,-0.788598191208333,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775,30.5348029715667
64,"2013-01-31 23:00:00",71,17.7965833333333,-0.88498062015,71,70,69,67,66,62,50,54,35,71,73,17.7965833333333,17.7911666666667,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,18.813375,-0.88498062015,-0.788598191208333,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333,15.448029715775
65,"2013-02-01 00:00:00",72,17.8606666666667,-0.817215762266667,72,71,70,69,67,66,62,50,54,35,71,17.8606666666667,17.7965833333333,17.7911666666667,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,17.603125,-0.817215762266667,-0.88498062015,-0.788598191208333,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458,93.3499838501333
66,"2013-02-01 01:00:00",72,17.884125,-0.752890826875,72,72,71,70,69,67,66,62,50,54,35,17.884125,17.8606666666667,17.7965833333333,17.7911666666667,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,16.03375,-0.752890826875,-0.817215762266667,-0.88498062015,-0.788598191208333,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108,340.780442506458
67,"2013-02-01 02:00:00",73,18.2300416666667,-0.826437338491667,73,72,72,71,70,69,67,66,62,50,54,18.2300416666667,17.884125,17.8606666666667,17.7965833333333,17.7911666666667,17.6922916666667,17.4425833333333,17.0330833333333,16.7224583333333,15.898875,15.6680833333333,-0.826437338491667,-0.752890826875,-0.817215762266667,-0.88498062015,-0.788598191208333,-1.07968346253333,-1.16526162790833,-1.136046511625,4.94168281654167,115.400742894067,208.320235788108
