"time","Y","Ta","S","I"
1,23.4967333333333,7.08333333333333,0,15.8995405211614
2,22.7203333333333,7.11666666666667,0,15.8617676036433
3,22.0527,7.21666666666667,0,16.1214693346156
4,21.53805,7.25,0,15.4476276428629
5,20.9950333333333,7.31666666666667,0,16.2583194654785
6,20.6115333333333,7.48333333333333,0,16.6326513861409
7,20.4896166666667,7.76666666666667,1.16666666666667,17.1994132863135
8,20.408,8.03333333333333,20,16.9711793416373
9,20.3834166666667,8.33333333333333,62.1666666666667,16.9706565343908
10,20.7104333333333,8.66666666666667,108.833333333333,16.047776694092
11,21.02405,9.31666666666667,194.5,17.4786528822147
12,21.2427,10,257.833333333333,16.736591404501
13,22.0265833333333,11.75,357.333333333333,16.3463326748985
14,23.30945,12.85,422.666666666667,16.3236018842733
15,24.13675,13.5,308.333333333333,15.9532847765967
16,24.8204666666667,13.25,205,15.093184726884
17,25.1045666666667,12.8,185.333333333333,16.0265145664434
18,24.5001,12.1166666666667,68.6666666666667,16.8769151076346
19,24.5087,11.5166666666667,51.5,17.9350784782253
20,24.5924166666667,10.9,34.6666666666667,17.3411064865209
21,24.2536833333333,10.75,4.83333333333333,16.3488250150917
22,23.8837166666667,10.0833333333333,0,16.5328088766301
23,24.0035,9.23333333333333,0,16.763389016708
24,24.1030333333333,9.01666666666667,0,16.5560026806151
25,24.306,8.65,0,16.4441755989516
26,24.2998333333333,8.45,0,15.4690801862341
27,23.9647,8.11666666666667,0,15.7953543221496
28,23.5080666666667,8.15,0,15.4231862870639
29,23.2351333333333,8,0,15.6385312514178
30,22.9114166666667,7.9,0,15.3004152965053
31,22.6237166666667,7.9,3,15.2086904082359
32,22.6339166666667,8.1,26.8333333333333,15.400645957247
33,22.6336,8.26666666666667,60.3333333333333,17.180679302018
34,22.8674666666667,8.86666666666667,172.333333333333,15.6396134771333
35,22.97545,9.96666666666667,300.166666666667,16.2383765449447
36,23.2501333333333,10.75,298.666666666667,16.4809619741922
37,23.7590166666667,10.95,192.833333333333,15.466436861207
